,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo,cube_id,pmra_deviation,pmdec_deviation
2025,5119053636135810304,38.875547547790084,-25.07689313944425,213.80494018120763,-66.58896788834052,34.37993016382108,1206.5642,841.5975983136732,0.021071661,29.30045203463545,0.024941705,40.404835,3.3744771,29.042612,29.020681,29.071157,14,-707.4958265479527,-62.62847649252963
22,4847957293278177024,50.00034361894219,-43.06655252783423,250.73404566404008,-56.06475866970972,165.5242095575573,2112.3093,3035.01731561514,0.0812309,726.9644815849239,0.101254486,87.90039,0.43286318,6.041082,6.0385327,6.044094,15,-2864.9126019980827,-635.0207101762982
94,4937000898856156288,32.62294594706244,-50.82090583925884,275.9070583741444,-61.95710105282767,92.92514044230325,2016.6344,2125.416146679918,0.047867194,637.975043070748,0.061558302,55.226982,0.1798324,10.760238,10.753528,10.766288,15,-1955.3114330628605,-546.0312716621223
613,4902689745157488128,12.381389903977816,-61.04278189419078,303.3467567138024,-56.08392773277949,51.17288044315884,2583.1187,1122.7918229510326,0.022463573,-78.24234070645399,0.024095375,57.473404,0.2105436,19.537323,19.529947,19.544937,16,-975.4020757974441,49.877421343026235
735,4710180171260274816,14.342079212288699,-62.24502641337996,301.7321344707452,-54.86940620090488,47.82949723188853,4105.1816,1027.3002091496915,0.01452811,128.18129206516082,0.01341791,6.5382247,0.25625977,20.90175,20.896988,20.907324,16,-879.910461996103,-156.54621142858858
1330,4906784051581971200,10.11468419994352,-59.45262733734352,305.53679370213024,-57.62005859839854,39.59120919706224,964.51483,883.5138717108204,0.038492426,444.30976598610704,0.034146603,3.0807915,0.13577412,25.247742,25.221577,25.273321,16,-736.1241245572319,-472.6746853495348
1933,4900637266186106752,8.770656713789384,-63.697479869348406,305.96487050204865,-53.33434991294574,35.033589931281085,1303.2417,888.4818437030984,0.030187225,-517.8822545615475,0.027727596,3.482405,0.16741472,28.531195,28.507023,28.555182,16,-741.09209654951,489.5173351981197
6,6583272171336048640,319.2950181380955,-38.872456400701786,3.8964699913511365,-44.24225199226009,251.9124222107058,7164.5996,-3258.966218702396,0.029930007,-1145.8623969124255,0.025867643,20.5617,0.12656169,3.9691498,3.9685879,3.9697843,18,3312.7322204774086,969.21066890778
2360,2733790256348020608,334.31696359442174,12.898928495382219,74.90272770749638,-35.22190392149935,32.68069399428501,1191.8545,850.0956940357863,0.023934532,98.50303330596469,0.022944385,-25.388418,0.17857213,30.565962,30.54082,30.592514,19,-731.0517729555135,-190.47700019804088
29,2828928008202069376,344.1402217312129,16.55216937227734,87.05605298678775,-38.18902985967409,145.62341010499722,5721.9185,-1034.7334113799404,0.026007721,-284.13086712481174,0.025290629,-27.993563,0.15685655,6.865325,6.8642373,6.866509,20,1146.7326911350267,215.31774929983843
2163,2867826668010103040,356.29623902518813,29.56185209676126,106.09244387345629,-31.13424901161755,33.60913091365027,226.20973,947.1160733914049,0.15095855,-3.907378805410912,0.12423671,52.770573,2.1027403,29.733242,29.58386,29.864672,20,-835.1167936363188,-64.9057390195624
4241,2812615928570830464,351.76988107229346,12.93431808448823,93.19248750975923,-45.01097145713591,26.795996313007105,813.3356,855.4754745670651,0.0350082,-20.030130065825556,0.027617998,-80.61089,0.73119926,37.305405,37.26446,37.34652,20,-743.476194811979,-48.78298775914776
32,19316224572460416,39.02838450657828,6.8933391075785275,163.40600566235537,-47.583452080672224,138.34000380964673,435.39563,1778.585493720961,0.4300584,1477.3061594730598,0.24807107,25.23315,0.12557457,7.22807,7.2113237,7.24376,22,-1647.0785164290903,-1600.0521908653554
