,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo,cube_id,pmra_deviation,pmdec_deviation
233,5046323965616929792,48.13118384752778,-38.085680838985176,242.31883159187714,-58.55846671721917,69.38747579869145,2514.0508,1263.0161525610654,0.02295895,732.8574531458999,0.032369535,59.72607,0.4880324,14.408051,14.402399,14.413357,15,-1092.911438944008,-640.9136817372741
1845,4753355209745022208,40.893041519323845,-46.457211267551386,261.57817248579266,-60.65669585936667,35.61427887433883,376.1454,75.8852586557606,0.083543345,-527.893696470351,0.1089685,33.924587,0.31889588,28.060799,27.993324,28.131186,15,94.2194549612968,619.8374678789767
878,4708607629114652032,11.165312596304016,-65.65281899170009,304.0528356197016,-51.46067955037986,45.3558843976139,2554.9902,157.63926545371467,0.020534646,-741.9129958953331,0.022072805,95.188194,0.15847036,22.043573,22.035429,22.051472,16,-10.249518300126198,713.5480765319054
7023,6487709801833043328,358.0617891737743,-61.4287691208352,315.01146227369867,-54.28947858385924,22.652930153167034,1931.965,179.17174079300509,0.011709364,-814.7522844363878,0.011371223,-27.865412,0.19121607,44.11465,44.09858,44.13498,16,-31.781993639416612,786.38736507296
21,6697578465310949376,302.8022690433109,-36.10821653736984,5.225729135190484,-30.928196247696746,166.3272042796776,1561.6835,458.88173849748836,0.09990689,-1576.7321098687532,0.07346191,-129.30493,0.13863906,6.0110006,6.0077357,6.01522,18,-405.11573672247556,1400.0803818641077
133,6885776098199761024,317.32587881622555,-13.31137231459359,36.22796287021272,-36.52116867106078,84.44018320948496,3287.6743,715.0641543639571,0.029201722,-1995.4456205314852,0.01802989,-58.38957,0.24509478,11.835926,11.832708,11.838961,18,-661.2981525889443,1818.7938925268397
517,6882393725554653056,316.21816541116317,-16.967940257888934,31.504253860014785,-36.95261463434657,54.61760167387142,3193.695,-916.0628229973745,0.016077781,-2039.7905994563957,0.013279606,-11.126852,0.27039927,18.294882,18.289438,18.3005,18,969.8288247723873,1863.1388714517502
361,2653762573103102592,339.04061610660756,-0.844401954555088,66.24033700095119,-48.24874577460406,60.38361557182072,1474.4281,55.90374034299936,0.0403162,-630.3147782296967,0.043530382,9.853081,0.84537894,16.546885,16.53458,16.559843,19,63.14018073727352,538.3408113376205
2702,6844519325638029184,325.531593898281,-12.166465966165726,41.98803781976163,-43.297484783596346,31.220996740684846,786.7981,106.08180943382507,0.04389664,-684.8003137509365,0.040606555,-14.20322,2.7210555,32.00074,31.954107,32.04467,19,12.96211164644781,592.8263468588603
149,2853900872207888768,0.5466960564268589,27.07764869795461,109.60888829218325,-34.516709163119174,81.17903537377352,180.81635,716.4603207703668,0.4519759,-941.4971821960098,0.24190424,-35.565525,0.34586358,12.318672,12.247058,12.385875,20,-604.4610410152807,872.6840643710365
991,2860379125997924480,4.338202188931532,29.1849048645301,114.04858001645006,-33.09822241809788,43.773296801166225,2147.9116,691.1454063893501,0.021892892,427.7358394739822,0.018280556,-9.219935,0.52874535,22.821604,22.813238,22.831392,20,-579.146126634264,-496.54895729895554
32,19316224572460416,39.02838450657828,6.8933391075785275,163.40600566235537,-47.583452080672224,138.34000380964673,435.39563,1778.585493720961,0.4300584,1477.3061594730598,0.24807107,25.23315,0.12557457,7.22807,7.2113237,7.24376,22,-1647.0785164290903,-1600.0521908653554
339,5115463180914712448,54.572021668602574,-11.49906945105181,199.4655892035713,-47.89655258845268,61.88605144828595,2813.1602,1458.2007377243792,0.02084605,-2696.5451254401264,0.021518556,-84.49877,0.62724745,16.157516,16.15165,16.162529,22,-1326.6937604325085,2573.7990940478307
1672,37431537635219712,55.626009549892096,12.519732313100475,174.8338437825805,-32.61434117726947,36.7120555212867,199.16238,752.7962275554678,0.1948324,-1405.5691580398347,0.15065828,-54.13232,1.4588362,27.223375,27.089895,27.357546,22,-621.289250263597,1282.823126647539
11,3195919528989223040,63.80795300602079,-7.6680778150199815,200.7636590463469,-38.06384376355206,199.6080124181338,1651.9701,-2240.0849838923477,0.13507964,-3421.8086201704023,0.09439368,-42.621136,0.4151377,5.0092463,5.0060306,5.012345,23,2275.835325978753,3342.752025336492
5,4810594479418041856,77.9599373502188,-45.0438126993602,250.5655103797037,-35.975075941197616,254.19859326384577,15092.47,6491.223339061598,0.018412089,-5708.614150045243,0.020839408,244.98715,0.18186499,3.9338374,3.9336271,3.9340477,24,-6352.501601435316,5718.195634044528
402,6349915534307041152,312.94024076689,-79.31547954708421,313.8437141776078,-32.058312786825006,58.755439868271644,4139.722,708.9043851101601,0.015538402,-984.0539310268356,0.017566925,25.825542,0.31845295,17.013884,17.009985,17.017836,25,-599.6426973737374,950.8399681236441
1530,4657193606465368704,86.12894471761606,-70.13806560262964,280.6092810661504,-31.057959345300844,37.823472853588115,1832.743,-309.2733025871024,0.024049245,1238.8619268809139,0.025280751,14.088016,0.19842125,26.437546,26.42328,26.454361,25,418.5349903235251,-1272.0758897841054
4,6412595290592307840,330.8724078795965,-56.79725466122902,336.1656204933891,-48.05544038960672,274.8431415216296,2874.4775,3966.6605387484133,0.08557088,-2536.1919868044724,0.09221277,-40.50448,0.23018494,3.6384804,3.6373396,3.640133,26,-3877.0715396464593,2390.4046522039866
63,6401464693867773568,321.61171581249374,-65.3626399731515,328.16063080840684,-40.29399090127165,108.01020563892783,1018.3547,80.81524728416929,0.079900935,800.5726893856181,0.09307411,-29.836266,0.19164662,9.255318,9.244121,9.2642765,26,8.773751817784515,-946.3600239861037
150,6471497502884511232,310.5788689173076,-52.70400747589355,345.7205494415221,-37.84885821725004,81.02792076812638,3551.311,82.71759938861481,0.018462153,-1067.1592799873572,0.022365257,-47.005924,0.15460667,12.337894,12.334075,12.34162,26,6.871399713338988,921.3719453868716
677,6468968316900356736,306.9287528887697,-56.462457532948925,341.2170170972963,-35.49347257751352,49.05549556092097,1988.4899,424.4172689388023,0.02240832,-1230.9406002928697,0.023917953,7.3377066,0.32588112,20.378843,20.36873,20.389452,26,-334.8282698368485,1085.1532656923841
1798,6764687466752221824,293.1684170305172,-28.023138653390138,11.204224366204452,-20.782992371677334,35.98255247529634,1581.3506,72.74501720756868,0.024436992,-749.319085770521,0.019735575,-42.564823,0.14645077,27.76479,27.747787,27.781094,27,-23.051432279428624,625.9257424534001
9042,6859076107589173120,305.9019419109551,-21.375315743005014,22.47343462729158,-29.379096836366216,20.853954544130158,906.217,540.3228700550169,0.022388654,-1056.8527911246224,0.015835756,-171.06912,0.2864265,47.873398,47.830894,47.91955,27,-490.6292851268768,933.4594478075014
184,4248817876711932416,300.96027108661707,5.992067907733729,46.8238848846968,-13.143973362355363,75.25482099805123,3111.5227,-495.4775096333631,0.02516237,-799.6220828335094,0.016294451,30.50041,0.7079499,13.283178,13.278351,13.287005,28,574.8596538334532,739.3919684763838
