,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo
5945,2510183229442059776,23.704539520316168,0.9435621837224144,145.0694469357004,-60.050421669651875,27.322685496787898,1024.3406,209.95866284365454,0.029586764,-270.89792779398573,0.017531468,-22.471958,0.15744372,36.547264,36.513187,36.579155
5946,6338748894214299264,221.97749413739052,-3.158166575490635,350.3318205231853,48.69518105309993,54.811374042904326,2205.259,-545.4259847161054,0.029791221,377.36253534646045,0.028723579,-58.545753,0.91711265,18.241213,18.234062,18.249846
5947,1408029436569383296,254.42503416828447,47.36330765899741,73.37336506336771,38.4982222165892,55.71826050233643,3506.8467,-139.5752146579375,0.017713437,262.09344938628794,0.02195874,-7.401957,0.1479682,17.941465,17.935707,17.946497
5948,4590557463690178944,272.2930235719542,30.47013813354069,57.04482258602,21.83207153261757,8.446203754533954,245.21214,80.84438451706401,0.034147598,143.13499275050515,0.034217954,-82.80932,0.2653835,117.98006,117.44373,118.515854
5949,5586241315104190848,112.01432624132588,-38.012666800982934,250.81883014553532,-9.744103119488535,6.382124460985825,507.10397,160.29046365062737,0.013546182,-270.11772549316606,0.015410917,269.0454,0.7383494,156.34117,156.06248,156.60728
5950,6911186911429095808,316.93358627411334,-5.5648823087067125,44.44758914534318,-32.71747519942285,18.890023939797317,761.458,206.16206097975305,0.024449766,225.12669980680568,0.020820195,-101.376595,0.2115935,52.82694,52.762486,52.8923
5951,6035579999042793856,244.17504103040025,-32.950213292795645,345.09922171321114,12.637155885267097,1.8756632358459169,100.19706,-95.70902493986928,0.023031106,-107.83852343628445,0.015905868,-143.91309,0.7149367,523.82086,519.0256,528.3253
5952,2972197568758575488,83.22245652261496,-15.501063183576,218.6070501711347,-24.209539406827446,1.1036758417687327,86.63676,21.78617661479036,0.010535598,-27.687166548156213,0.011524375,95.3807,0.36417028,886.4211,876.82904,895.62317
5953,5242546968236290432,146.2811616543559,-71.08859091383196,288.9231042500697,-13.479665995815953,13.968002437740335,974.7175,-200.4700398876435,0.017121324,186.93062417810975,0.01709512,20.903677,1.9291346,71.51561,71.44701,71.5862
5954,6369544118966055296,310.4425318147691,-75.34716337827433,318.4473137248455,-33.05184091570143,25.037922490195637,1501.661,163.5312196123098,0.015859367,-171.3460023417865,0.017636582,-10.867811,0.15016876,39.916977,39.893646,39.944435
5955,3903318372263850368,188.7509128903155,9.827071562345218,289.5280673271952,72.26979036046997,54.9739195459864,2040.7345,-449.1789205626415,0.032051325,-319.14955106133675,0.029384881,32.804104,0.29893804,18.17372,18.166159,18.181608
5956,4636675929158381952,26.69376345265007,-76.95553115051771,298.9074073696536,-39.737166739338896,9.20301158936294,760.7338,176.74473597498428,0.014003252,164.92125202967415,0.0130220065,58.28627,0.63892597,108.551605,108.40294,108.70274
5957,5055328377436238208,53.86906205587919,-32.3022151370801,231.355989811245,-54.22530542633541,20.151540814623587,1704.8448,-303.00032003165495,0.0091946935,-327.6135212267807,0.013363857,35.331635,0.46096343,49.627,49.589066,49.655357
5958,4559902117438959616,255.95378667030317,17.188445097435203,37.35368386441521,31.298945901493838,11.558866080158158,879.37036,-218.12967525437682,0.009075698,-167.31272969674322,0.009802942,-55.943855,0.17006579,86.297966,86.19029,86.40427
5959,6860174622786072576,305.42222235949635,-19.95570663056481,23.81514847402488,-28.46386611306457,32.44295708008191,1787.0184,179.88811064409745,0.019058015,-158.7210860840286,0.013504686,9.532553,0.325914,30.80708,30.78879,30.824207
5960,4249014891144405120,301.17354749672273,6.185293190239747,47.10424825140355,-13.232284945951537,1.5210922636952056,86.56689,-22.930757422975653,0.015664069,-29.73855574207947,0.010860726,-6.5738473,0.53269935,642.5514,633.90063,649.9362
5961,1647183802706026624,242.16324905842276,70.65728775749594,104.21703136301214,38.49572887338847,1.2920118958390407,81.33321,-38.565087281578506,0.015961297,39.449760184643054,0.018504538,21.55694,2.0854099,766.4715,757.6443,773.89264
5962,1649026618553865472,254.67572397577862,68.89882693265304,100.07418234573052,35.22144915808269,37.15929126432873,2525.163,-528.5268838034337,0.019077033,200.99075594912296,0.020879807,-65.31104,0.35033014,26.894022,26.881899,26.902887
5963,5415649577793447040,155.4583902179441,-44.51181597002583,276.7833707438586,10.632108215156963,21.71042065632772,1939.3574,218.87234690785922,0.010235407,-157.4645106675216,0.010630622,59.580074,0.32293072,46.02564,46.002705,46.047672
5964,5026058557566776832,17.15547573626227,-35.100174389240195,279.250192395602,-81.2232341020779,10.907063411540234,763.77814,225.24737930312222,0.009078801,-236.41556560576214,0.011190163,-75.22666,1.1709343,91.34541,91.23913,91.455605
5965,340305381444650880,38.54688467592002,42.784391682841594,142.2776899613456,-16.194604153147065,31.24103129965731,1235.7368,406.4061846356144,0.028006941,-194.24527597221567,0.025776668,16.710155,0.116962224,31.979935,31.955814,32.016483
5966,1234386043391281024,218.92627357482252,16.051383086962883,13.67188269023985,63.42789825211801,13.753836337289126,44.27153,-222.61579453993525,0.4039786,118.06871425950605,0.34746376,-116.97896,1.626884,72.80937,71.39599,74.82649
5967,2000722386425055104,338.34371970332353,52.68867940350373,102.77345111277029,-4.693909565531913,1.800788399114612,167.16191,133.3225187598529,0.010271692,72.36535020101698,0.011223886,-170.0766,0.24585192,548.52203,545.6643,551.7439
5968,1511593059561180032,212.7528716236515,50.252959728418574,94.986596315955,62.33717525021544,8.600244418640385,683.2712,-179.21975629755292,0.011923646,145.36582740508496,0.013526766,2.9321558,0.2769425,115.994484,115.81972,116.18205
5969,4518377377198705536,283.3455728091764,18.885424217737427,50.06842205629519,8.073730384109535,19.179291640463603,257.3941,176.09842756111067,0.060684808,170.35824490799902,0.07122544,-52.66865,0.6746127,52.110725,51.949795,52.299126
5970,2270611018825674368,318.557912555997,69.4258253726271,105.81558065102173,14.146331991532602,1.0502251336608703,81.40376,16.98778488151994,0.016820917,14.531922417529733,0.0149741955,-59.68227,3.5282938,929.3657,919.29553,943.2238
5971,4306115386165767808,288.16650275840584,6.722095323658594,41.334089083834165,-1.6260923446985664,4.112684705161038,319.6384,-213.51531876883635,0.012602095,-257.45400949013384,0.011202702,155.50131,2.0058181,242.00229,241.32324,242.69307
