,r_med,l_med,b_med,pmra,pmdec,std_pmra,std_pmdec
0,187.37808839215768,9.473684210526315,-85.26315789473685,20.85723,-20.701216,30.286604,42.352497
1,187.37808839215768,28.421052631578945,-85.26315789473685,16.509188,-11.130493,34.427876,27.62668
2,187.37808839215768,47.368421052631575,-85.26315789473685,17.430017,-17.73774,49.274807,38.052814
3,187.37808839215768,66.3157894736842,-85.26315789473685,20.726534,-13.406492,52.407448,31.473442
4,187.37808839215768,85.26315789473684,-85.26315789473685,19.190435,-14.728803,38.00172,29.391834
5,187.37808839215768,104.21052631578947,-85.26315789473685,21.992615,-10.504237,45.059917,44.195477
6,187.37808839215768,123.1578947368421,-85.26315789473685,29.661453,-6.918939,68.31923,25.904749
7,187.37808839215768,142.10526315789474,-85.26315789473685,18.074833,-15.976542,46.620747,39.86495
8,187.37808839215768,161.05263157894734,-85.26315789473685,22.107485,-17.43458,40.24338,41.446896
9,187.37808839215768,180.0,-85.26315789473685,17.614511,-8.709042,42.382256,28.578886
10,187.37808839215768,198.9473684210526,-85.26315789473685,15.840718,-12.53795,32.31235,28.743095
11,187.37808839215768,217.89473684210526,-85.26315789473685,24.415825,-16.547724,46.619835,46.97522
12,187.37808839215768,236.84210526315786,-85.26315789473685,20.077553,-6.8031654,42.356228,31.062962
13,187.37808839215768,255.78947368421052,-85.26315789473685,18.651566,-6.0737243,38.163246,28.549408
14,187.37808839215768,274.7368421052631,-85.26315789473685,17.24009,-10.141217,34.863132,31.045324
15,187.37808839215768,293.6842105263158,-85.26315789473685,19.900599,-7.658982,34.719986,32.191795
16,187.37808839215768,312.6315789473684,-85.26315789473685,16.25764,-3.939138,29.196987,24.896475
17,187.37808839215768,331.57894736842104,-85.26315789473685,20.238012,-6.8245697,36.974842,27.478014
18,187.37808839215768,350.52631578947364,-85.26315789473685,25.120705,-13.275787,37.610214,34.67537
19,187.37808839215768,9.473684210526315,-75.78947368421052,25.711472,-15.718618,58.623516,56.720562
20,187.37808839215768,28.421052631578945,-75.78947368421052,21.97195,-16.215336,40.864418,46.387974
21,187.37808839215768,47.368421052631575,-75.78947368421052,20.029291,-13.321656,37.316406,43.000877
22,187.37808839215768,66.3157894736842,-75.78947368421052,25.944925,-11.825705,46.172314,33.45707
23,187.37808839215768,85.26315789473684,-75.78947368421052,24.702093,-19.776968,61.66762,64.64224
24,187.37808839215768,104.21052631578947,-75.78947368421052,18.439611,-15.544163,43.531017,48.37349
25,187.37808839215768,123.1578947368421,-75.78947368421052,29.770678,-14.787119,120.78288,60.499218
26,187.37808839215768,142.10526315789474,-75.78947368421052,17.692654,-12.88777,34.190216,32.328705
27,187.37808839215768,161.05263157894734,-75.78947368421052,23.711912,-10.966031,44.269028,37.79968
28,187.37808839215768,180.0,-75.78947368421052,18.7231,-16.37251,50.59956,41.22523
